epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1573.45,0.89254,0.78723,0.85181,0.93059,0.87472,0.90838,0.72373,0.60604,0.35284,0.81525,0.003333,0.003333,0.003333
2,3054.24,0.87818,0.56052,0.85514,0.9321,0.88188,0.91245,0.74463,0.56178,0.31959,0.81048,0.00660034,0.00660034,0.00660034
3,4501.04,0.88612,0.56925,0.85968,0.94081,0.87664,0.9144,0.75123,0.55814,0.33358,0.81433,0.00980168,0.00980168,0.00980168
4,5933.71,0.82731,0.51986,0.85189,0.94443,0.87465,0.91593,0.75573,0.55632,0.38052,0.81833,0.009703,0.009703,0.009703
5,7365.91,0.75212,0.45837,0.83818,0.94291,0.87658,0.91741,0.76265,0.54084,0.38081,0.81628,0.009604,0.009604,0.009604
6,8798.49,0.71498,0.42834,0.83112,0.94574,0.87642,0.91825,0.76848,0.52689,0.37281,0.81397,0.009505,0.009505,0.009505
7,10230.9,0.69072,0.41048,0.82707,0.94331,0.87989,0.92051,0.77432,0.5151,0.35899,0.8114,0.009406,0.009406,0.009406
8,11663.3,0.67402,0.39894,0.82474,0.94729,0.88464,0.9227,0.78079,0.50091,0.33887,0.80803,0.009307,0.009307,0.009307
9,13097,0.66378,0.39103,0.8234,0.9535,0.8889,0.92561,0.78726,0.48755,0.31826,0.80446,0.009208,0.009208,0.009208
10,14529.2,0.65384,0.38366,0.82144,0.95655,0.8933,0.92771,0.79281,0.47484,0.29902,0.80106,0.009109,0.009109,0.009109
11,15963.8,0.6457,0.37859,0.82049,0.95851,0.89513,0.92822,0.79764,0.46342,0.28193,0.79808,0.00901,0.00901,0.00901
12,17399,0.64009,0.37487,0.81944,0.9594,0.89794,0.92946,0.80116,0.45494,0.26824,0.79557,0.008911,0.008911,0.008911
13,18834.4,0.63389,0.36973,0.81881,0.9587,0.90118,0.93085,0.80468,0.44787,0.25723,0.79369,0.008812,0.008812,0.008812
14,20266.2,0.62752,0.3662,0.81747,0.96054,0.90415,0.93323,0.80714,0.44269,0.2489,0.79225,0.008713,0.008713,0.008713
15,21698,0.62445,0.36379,0.81702,0.96124,0.90474,0.93379,0.8084,0.43889,0.24252,0.79111,0.008614,0.008614,0.008614
16,23126.2,0.61807,0.35987,0.81614,0.96271,0.90551,0.93428,0.8097,0.43646,0.23759,0.79017,0.008515,0.008515,0.008515
17,24556.5,0.61528,0.3571,0.81578,0.96312,0.90615,0.93416,0.81133,0.43309,0.23281,0.78932,0.008416,0.008416,0.008416
18,25990.1,0.61207,0.35555,0.81561,0.9634,0.9072,0.93492,0.81231,0.43173,0.22948,0.78869,0.008317,0.008317,0.008317
19,27422.6,0.60876,0.35276,0.81471,0.96453,0.90891,0.93641,0.81216,0.43186,0.22605,0.78831,0.008218,0.008218,0.008218
20,28857.2,0.60512,0.35077,0.81416,0.96351,0.91051,0.93715,0.81274,0.43079,0.22336,0.78775,0.008119,0.008119,0.008119
21,30295.9,0.60178,0.347,0.81353,0.96319,0.91114,0.93789,0.81368,0.42957,0.22151,0.78741,0.00802,0.00802,0.00802
22,31733.1,0.59988,0.34555,0.81374,0.96546,0.91147,0.93828,0.81336,0.42854,0.21965,0.78703,0.007921,0.007921,0.007921
23,33169.3,0.59621,0.34471,0.81338,0.96657,0.91118,0.9381,0.81355,0.42767,0.21777,0.78676,0.007822,0.007822,0.007822
24,34606.1,0.59304,0.34178,0.81215,0.96586,0.91135,0.93803,0.81422,0.42604,0.21636,0.7864,0.007723,0.007723,0.007723
25,36040.8,0.5897,0.33915,0.81206,0.96436,0.91136,0.93819,0.81443,0.42595,0.21532,0.78616,0.007624,0.007624,0.007624
