epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2622.83,0.9141,0.83722,0.84981,0.93038,0.87604,0.90887,0.72067,0.62136,0.37021,0.81228,0.003333,0.003333,0.003333
2,5002.53,0.88466,0.57358,0.84767,0.9344,0.88262,0.91263,0.73877,0.57832,0.33504,0.80825,0.00660034,0.00660034,0.00660034
3,7326.29,0.89255,0.57922,0.85187,0.94155,0.8784,0.91386,0.75133,0.56418,0.34021,0.81127,0.00980168,0.00980168,0.00980168
4,9690.33,0.83716,0.53221,0.84443,0.94559,0.8757,0.91544,0.75969,0.55631,0.37944,0.81429,0.009703,0.009703,0.009703
5,12033.8,0.76174,0.46995,0.83143,0.94768,0.88046,0.91954,0.76746,0.54236,0.37842,0.81186,0.009604,0.009604,0.009604
6,14475.5,0.72605,0.4421,0.82535,0.94588,0.88129,0.92101,0.77317,0.52963,0.36989,0.80935,0.009505,0.009505,0.009505
7,2381.62,0.7483,0.46015,0.82926,0.95229,0.88826,0.92397,0.779,0.517,0.33196,0.80463,0.009406,0.009406,0.009406
8,4651.24,0.71808,0.43668,0.82455,0.95504,0.8908,0.92626,0.78347,0.50759,0.31549,0.80167,0.009307,0.009307,0.009307
9,6919.78,0.6966,0.42023,0.82085,0.95925,0.89258,0.92748,0.78752,0.49815,0.30649,0.79957,0.009208,0.009208,0.009208
10,9190.68,0.67939,0.40714,0.81905,0.96165,0.89521,0.92954,0.79131,0.48924,0.29762,0.79768,0.009109,0.009109,0.009109
11,11459.9,0.66747,0.39866,0.81712,0.96026,0.8972,0.9311,0.7955,0.48119,0.28868,0.79591,0.00901,0.00901,0.00901
12,13768.7,0.65974,0.39348,0.8158,0.96084,0.89911,0.93223,0.79909,0.47437,0.27971,0.79424,0.008911,0.008911,0.008911
13,16093.7,0.65192,0.38807,0.81484,0.96125,0.90082,0.93288,0.80195,0.46746,0.27115,0.79264,0.008812,0.008812,0.008812
14,18359.7,0.64496,0.38377,0.81399,0.96236,0.90225,0.9342,0.80476,0.46114,0.26312,0.79119,0.008713,0.008713,0.008713
15,20629,0.63968,0.37932,0.81333,0.96431,0.90441,0.93528,0.80717,0.4554,0.25624,0.78997,0.008614,0.008614,0.008614
16,22900.2,0.63503,0.37616,0.81248,0.96321,0.9051,0.9356,0.80818,0.45079,0.2504,0.78896,0.008515,0.008515,0.008515
17,25169.7,0.62972,0.37247,0.81192,0.96379,0.90516,0.93582,0.80957,0.44739,0.24549,0.78823,0.008416,0.008416,0.008416
18,27521.5,0.62698,0.37087,0.81124,0.96355,0.90716,0.93684,0.81064,0.44373,0.24134,0.78745,0.008317,0.008317,0.008317
19,29788.6,0.62228,0.36748,0.81112,0.96398,0.90767,0.93687,0.81149,0.44004,0.23768,0.78688,0.008218,0.008218,0.008218
20,32058,0.61757,0.36441,0.81022,0.96423,0.90845,0.93733,0.81152,0.43962,0.23463,0.78649,0.008119,0.008119,0.008119
21,34328.4,0.61709,0.36268,0.81022,0.9644,0.90845,0.93698,0.81175,0.43775,0.23244,0.786,0.00802,0.00802,0.00802
22,36597.1,0.61063,0.35917,0.80919,0.96545,0.90885,0.9376,0.81294,0.43487,0.22981,0.78555,0.007921,0.007921,0.007921
23,38905,0.60891,0.35761,0.8095,0.96599,0.90978,0.93746,0.81379,0.43243,0.22756,0.78515,0.007822,0.007822,0.007822
24,41231.5,0.60616,0.3557,0.80919,0.96407,0.91005,0.93747,0.81417,0.43069,0.22581,0.78482,0.007723,0.007723,0.007723
25,43501.4,0.60336,0.35374,0.80837,0.96267,0.91066,0.9376,0.81453,0.4286,0.22392,0.78451,0.007624,0.007624,0.007624
26,45771.8,0.59985,0.3518,0.80783,0.96278,0.91152,0.9381,0.81587,0.42615,0.22199,0.78424,0.007525,0.007525,0.007525
27,48043.7,0.59772,0.34954,0.80731,0.96436,0.91184,0.93861,0.81657,0.42478,0.22091,0.78398,0.007426,0.007426,0.007426
28,50315.5,0.5944,0.34787,0.80756,0.96579,0.91178,0.93895,0.81659,0.42431,0.22006,0.78377,0.007327,0.007327,0.007327
29,52671.8,0.5915,0.34545,0.80714,0.96617,0.9119,0.93901,0.81735,0.42313,0.21912,0.78357,0.007228,0.007228,0.007228
30,54942.1,0.58959,0.34432,0.80624,0.96851,0.91184,0.93966,0.81833,0.42258,0.21842,0.78338,0.007129,0.007129,0.007129
