epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2137.68,1.27007,1.32434,0.88169,0.89457,0.8353,0.87219,0.6446,0.8431,0.52815,0.8304,0.00999901,0.003333,0.00999901,0.003333,0.00999901,0.003333,0.00999901,0.003333
2,3831.09,1.14759,0.75109,0.85983,0.89997,0.8683,0.89218,0.67945,0.76346,0.44884,0.81965,0.019801,0.00660034,0.019801,0.00660034,0.019801,0.00660034,0.019801,0.00660034
3,5375.64,1.11131,0.71571,0.85511,0.91484,0.87818,0.90098,0.69594,0.72917,0.42954,0.81712,0.029405,0.00980168,0.029405,0.00980168,0.029405,0.00980168,0.029405,0.00980168
4,6878.32,1.04971,0.66369,0.84659,0.92433,0.87122,0.90025,0.70357,0.71179,0.44827,0.81665,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,8374.28,0.98066,0.60441,0.83523,0.92335,0.86976,0.9022,0.70751,0.70118,0.46107,0.81432,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,9872.3,0.94844,0.57798,0.82977,0.92392,0.86959,0.90352,0.70877,0.69669,0.47536,0.81263,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,11378.4,0.92514,0.55861,0.82641,0.92805,0.87035,0.90547,0.71183,0.69068,0.47695,0.81063,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,12885.6,0.9081,0.54592,0.82425,0.93022,0.87431,0.9087,0.71824,0.67876,0.4637,0.8082,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,14394.6,0.89637,0.53889,0.82267,0.93116,0.88123,0.91202,0.72526,0.66399,0.44301,0.80525,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,15903.2,0.88775,0.53064,0.82118,0.93254,0.88897,0.91586,0.73199,0.64948,0.42008,0.8023,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,17409.8,0.87937,0.52497,0.81991,0.93436,0.89268,0.91826,0.7384,0.63525,0.39768,0.79965,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,18917.7,0.87434,0.52052,0.81894,0.93312,0.89894,0.92145,0.7438,0.62293,0.37924,0.79746,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,20426.5,0.86625,0.51515,0.81854,0.93382,0.90477,0.92424,0.7485,0.61247,0.36461,0.79567,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,21935.1,0.859,0.50998,0.81705,0.93428,0.90902,0.92605,0.75233,0.60379,0.35329,0.79426,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,23447,0.85716,0.50919,0.81699,0.93931,0.91155,0.92779,0.75604,0.59674,0.34445,0.79318,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,24956,0.85017,0.5043,0.81611,0.93973,0.91411,0.92963,0.75913,0.59144,0.33729,0.79243,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,26468.2,0.84732,0.50147,0.81601,0.94362,0.91652,0.93168,0.76151,0.58745,0.3313,0.7917,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,28186.7,0.84192,0.49758,0.81532,0.94294,0.91832,0.93291,0.76417,0.58304,0.3263,0.79105,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,29780.7,0.83921,0.49505,0.81486,0.94635,0.91915,0.93333,0.76618,0.57812,0.32178,0.79047,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,31740.6,0.83512,0.49277,0.81428,0.94992,0.91931,0.93479,0.7676,0.57415,0.31804,0.78998,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,33809.2,0.83127,0.48889,0.81326,0.95643,0.91862,0.93543,0.76958,0.57035,0.31471,0.78945,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,35850.2,0.82901,0.48758,0.81378,0.95449,0.92025,0.93593,0.77136,0.56741,0.31187,0.78897,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,37889.1,0.82564,0.48543,0.81341,0.95396,0.92133,0.93674,0.77245,0.56467,0.30935,0.78862,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,39946.4,0.82154,0.48219,0.81234,0.95318,0.92298,0.93772,0.77337,0.56359,0.30789,0.78823,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,42083.5,0.81927,0.48099,0.81197,0.95541,0.92397,0.93848,0.77397,0.56223,0.30641,0.78793,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,43987.6,0.81901,0.47995,0.81224,0.95315,0.92591,0.93874,0.77533,0.56035,0.30467,0.78756,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,45494.2,0.81481,0.47778,0.81175,0.95549,0.92679,0.93952,0.77672,0.55879,0.30324,0.78732,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,46997.2,0.81107,0.47532,0.81094,0.95873,0.92691,0.93981,0.77726,0.55708,0.30165,0.78711,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,48497.9,0.80981,0.47499,0.81113,0.9597,0.92711,0.94014,0.77792,0.55526,0.30011,0.78694,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,49997.1,0.80759,0.47245,0.81074,0.95998,0.92758,0.93995,0.77851,0.55369,0.29886,0.78679,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,51496.9,0.80378,0.46998,0.8103,0.9595,0.92687,0.93946,0.77921,0.55209,0.2977,0.78657,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,52999.4,0.80114,0.46813,0.80983,0.96007,0.92864,0.9404,0.78009,0.55075,0.29652,0.78641,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,54499.6,0.79739,0.46592,0.80955,0.95967,0.92997,0.94138,0.78064,0.54982,0.29514,0.78619,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,55998.3,0.79509,0.46425,0.80932,0.96026,0.9295,0.94158,0.78121,0.54827,0.29387,0.78606,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,57502.7,0.79501,0.46341,0.80869,0.96121,0.93084,0.94272,0.78214,0.54657,0.29268,0.78583,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,58998.8,0.79028,0.46064,0.80841,0.96286,0.93208,0.94353,0.78249,0.54517,0.29154,0.78561,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,60498.3,0.79012,0.45903,0.80853,0.96264,0.93221,0.94369,0.78308,0.54372,0.2908,0.78544,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,61998.4,0.78659,0.45809,0.80831,0.96258,0.93166,0.94328,0.78403,0.54191,0.28954,0.78521,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,63499.4,0.78468,0.45558,0.80782,0.9624,0.93272,0.9437,0.78479,0.54098,0.28873,0.78502,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,64995.6,0.78176,0.4541,0.80734,0.96081,0.93408,0.94355,0.78512,0.53982,0.28784,0.78481,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,66493.1,0.78087,0.45378,0.80721,0.96175,0.93405,0.9442,0.78573,0.53854,0.28697,0.78453,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,67994.1,0.77676,0.45022,0.80715,0.96456,0.93349,0.94434,0.78738,0.53571,0.28568,0.78431,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,69491.9,0.77624,0.4499,0.80722,0.96376,0.93414,0.9446,0.78843,0.5333,0.28474,0.78414,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,70991.5,0.77162,0.44685,0.80629,0.96505,0.93385,0.94511,0.78837,0.53287,0.2838,0.78399,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,72492.7,0.76897,0.44557,0.8054,0.96298,0.93466,0.94487,0.78856,0.53203,0.2832,0.78381,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,73990.9,0.76774,0.44364,0.80609,0.96406,0.93548,0.94606,0.78935,0.53045,0.28219,0.78367,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,75494.8,0.76529,0.44243,0.80569,0.96428,0.93547,0.94661,0.78969,0.52954,0.28149,0.78353,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,76993.3,0.76142,0.4399,0.80494,0.96297,0.93574,0.9467,0.79028,0.5285,0.28079,0.78333,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,78495.6,0.7613,0.43902,0.80524,0.96003,0.93817,0.94777,0.79037,0.5274,0.27996,0.78316,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,79999.5,0.75696,0.43647,0.80453,0.96094,0.93771,0.94771,0.79074,0.52626,0.27923,0.78315,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,81501.9,0.75482,0.43489,0.80398,0.96234,0.93632,0.9476,0.79073,0.52518,0.27831,0.78302,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,83002.1,0.75311,0.43295,0.80409,0.96295,0.93791,0.94854,0.79096,0.52449,0.27749,0.78293,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,84504.9,0.75085,0.43161,0.8036,0.96167,0.93979,0.94863,0.7915,0.523,0.27652,0.78278,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,86003.4,0.7488,0.43096,0.80371,0.96275,0.93882,0.94837,0.79253,0.521,0.27546,0.78254,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,87502,0.74717,0.42874,0.80358,0.96343,0.93965,0.94893,0.79301,0.51908,0.27438,0.7823,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,89000,0.74417,0.42707,0.80304,0.96492,0.93894,0.94926,0.79329,0.51856,0.27369,0.78208,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,90499.6,0.74088,0.42449,0.8022,0.96507,0.93936,0.94944,0.79444,0.51632,0.27292,0.78183,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,91999.2,0.73815,0.4227,0.80201,0.96364,0.93968,0.94921,0.79478,0.51475,0.27214,0.78159,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,93843.8,0.73604,0.42071,0.80169,0.96337,0.94015,0.94953,0.79561,0.51315,0.2712,0.78144,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
