epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2562.53,1.07499,0.87429,0.84919,0.92409,0.88676,0.90928,0.7025,0.71436,0.42166,0.81209,0.00999901,0.003333,0.00999901,0.003333,0.00999901,0.003333,0.00999901,0.003333
2,4673.2,1.00889,0.63491,0.84035,0.9381,0.90343,0.92054,0.73136,0.64983,0.37414,0.80527,0.019801,0.00660034,0.019801,0.00660034,0.019801,0.00660034,0.019801,0.00660034
3,6607.6,0.98523,0.61662,0.83697,0.93249,0.9074,0.9228,0.74406,0.61901,0.37324,0.80336,0.029405,0.00980168,0.029405,0.00980168,0.029405,0.00980168,0.029405,0.00980168
4,8484.18,0.92801,0.57002,0.82939,0.94014,0.9059,0.92519,0.7545,0.59911,0.38581,0.80254,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,10358.2,0.85949,0.51564,0.81913,0.94733,0.90919,0.92925,0.76427,0.582,0.37781,0.79966,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,12231.5,0.82569,0.49054,0.8136,0.95045,0.91111,0.93198,0.77062,0.57091,0.37336,0.79747,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,14107,0.8025,0.47338,0.81053,0.95144,0.91418,0.93444,0.77602,0.56284,0.36813,0.79519,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,15984,0.7886,0.46297,0.80925,0.95555,0.91713,0.93676,0.7802,0.55309,0.35815,0.79298,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,17858.3,0.77666,0.45597,0.8078,0.95869,0.91949,0.93859,0.78345,0.5435,0.3467,0.79103,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,19733.3,0.7679,0.44853,0.80642,0.959,0.92341,0.94116,0.78756,0.53339,0.33343,0.78912,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,21610.6,0.75894,0.4436,0.80494,0.96033,0.92678,0.9432,0.7914,0.52432,0.32189,0.78741,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,23484.7,0.75369,0.43927,0.80401,0.96335,0.92952,0.94468,0.79497,0.5158,0.3116,0.78587,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,25359.6,0.74779,0.43427,0.80419,0.96563,0.93173,0.9457,0.79764,0.50921,0.30233,0.78475,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,27229.6,0.74171,0.43077,0.80292,0.96718,0.93351,0.94636,0.80066,0.50248,0.29457,0.78367,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,29099.2,0.73969,0.42899,0.8027,0.9681,0.93491,0.94747,0.80174,0.49783,0.28817,0.78294,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,30970.9,0.73235,0.42529,0.80168,0.96777,0.93655,0.94835,0.80244,0.49501,0.28304,0.78227,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,32840.7,0.73026,0.42325,0.80188,0.9699,0.93777,0.94916,0.80381,0.49282,0.27863,0.78177,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,34709.9,0.72617,0.4204,0.8017,0.97108,0.94036,0.95047,0.80566,0.48939,0.27413,0.78132,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
