epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1262.58,1.23349,1.72958,0.90807,0.9061,0.79135,0.84126,0.61538,0.83495,0.56895,0.84291,0.003333,0.003333,0.003333
2,2511.71,1.11501,0.8577,0.88579,0.93752,0.82098,0.8672,0.65492,0.75762,0.47453,0.83496,0.00660034,0.00660034,0.00660034
3,3657.97,1.07747,0.7483,0.88245,0.89965,0.83091,0.87498,0.67219,0.72546,0.46349,0.83277,0.00980168,0.00980168,0.00980168
4,4919.23,1.01097,0.67755,0.87373,0.91153,0.82019,0.87469,0.67768,0.71593,0.5595,0.83643,0.009703,0.009703,0.009703
5,6204.31,0.93819,0.60797,0.85934,0.91535,0.81666,0.87558,0.6814,0.70609,0.61302,0.83487,0.009604,0.009604,0.009604
6,7383.47,0.90272,0.57622,0.85224,0.91798,0.81459,0.87633,0.68351,0.69991,0.63814,0.83357,0.009505,0.009505,0.009505
7,8563.47,0.87793,0.55419,0.84781,0.92137,0.81646,0.87953,0.68706,0.69287,0.63198,0.83156,0.009406,0.009406,0.009406
8,9759,0.86223,0.53979,0.84552,0.91162,0.82373,0.88368,0.69468,0.67798,0.59614,0.8281,0.009307,0.009307,0.009307
9,10942,0.84949,0.53049,0.84312,0.91751,0.8339,0.89002,0.70388,0.66051,0.5491,0.82391,0.009208,0.009208,0.009208
10,12129.1,0.84075,0.52096,0.84179,0.92396,0.84722,0.89613,0.71362,0.64205,0.49755,0.81979,0.009109,0.009109,0.009109
11,13294.7,0.82956,0.5135,0.8401,0.92636,0.85732,0.90005,0.722,0.62477,0.45402,0.81587,0.00901,0.00901,0.00901
12,14434.2,0.82356,0.5087,0.83868,0.92838,0.86635,0.90483,0.72867,0.61019,0.41723,0.81271,0.008911,0.008911,0.008911
13,15607.6,0.81513,0.5016,0.83788,0.92909,0.87255,0.90751,0.73436,0.59879,0.39011,0.81012,0.008812,0.008812,0.008812
14,16736.4,0.80864,0.49651,0.83659,0.93172,0.87596,0.91004,0.73861,0.58996,0.36949,0.80808,0.008713,0.008713,0.008713
15,17876.9,0.8064,0.49365,0.83622,0.93276,0.87816,0.91111,0.7419,0.58352,0.35341,0.80645,0.008614,0.008614,0.008614
16,19035.6,0.79743,0.48712,0.83463,0.93486,0.87942,0.91263,0.74384,0.57895,0.34098,0.80517,0.008515,0.008515,0.008515
17,20198.6,0.79287,0.4844,0.83429,0.93605,0.88242,0.91388,0.74568,0.57391,0.33115,0.80405,0.008416,0.008416,0.008416
18,21364.5,0.78892,0.4804,0.83379,0.93928,0.88315,0.91466,0.74686,0.56983,0.3237,0.80301,0.008317,0.008317,0.008317
19,22546.9,0.78662,0.47736,0.8331,0.93818,0.88415,0.9146,0.74859,0.5656,0.31776,0.80216,0.008218,0.008218,0.008218
20,23719.6,0.78097,0.47391,0.83242,0.93966,0.88399,0.91458,0.75071,0.56127,0.31229,0.80138,0.008119,0.008119,0.008119
21,24859.7,0.77719,0.47001,0.8314,0.94442,0.88407,0.91549,0.75169,0.55886,0.30823,0.80083,0.00802,0.00802,0.00802
22,25966.5,0.77411,0.46763,0.83171,0.94146,0.88513,0.91505,0.75325,0.55548,0.30451,0.80026,0.007921,0.007921,0.007921
23,27045.7,0.77004,0.46575,0.8312,0.94667,0.88453,0.91577,0.75519,0.55223,0.30107,0.79966,0.007822,0.007822,0.007822
24,28085.7,0.76889,0.464,0.8306,0.9437,0.88568,0.91588,0.75635,0.54899,0.29808,0.79907,0.007723,0.007723,0.007723
25,29036.7,0.76474,0.46014,0.82967,0.94347,0.88734,0.91728,0.75779,0.5472,0.29568,0.79874,0.007624,0.007624,0.007624
26,29987.3,0.7629,0.45895,0.82989,0.94535,0.88774,0.91797,0.75874,0.54551,0.29319,0.79846,0.007525,0.007525,0.007525
27,30936.1,0.75965,0.45651,0.82951,0.94377,0.88866,0.91774,0.75921,0.54418,0.29134,0.79814,0.007426,0.007426,0.007426
28,31884.2,0.75606,0.45378,0.82838,0.94455,0.88951,0.91814,0.76114,0.54095,0.28945,0.79768,0.007327,0.007327,0.007327
29,32834.1,0.75474,0.45296,0.82865,0.94557,0.8899,0.91833,0.76202,0.53976,0.28813,0.79737,0.007228,0.007228,0.007228
30,33784.5,0.75212,0.45006,0.82806,0.94481,0.88953,0.91758,0.76276,0.53797,0.28625,0.79708,0.007129,0.007129,0.007129
31,34734.8,0.74896,0.44712,0.82784,0.94617,0.89051,0.91796,0.7635,0.53595,0.28458,0.79672,0.00703,0.00703,0.00703
32,35682.5,0.74593,0.44488,0.82736,0.94721,0.89091,0.91838,0.7638,0.53387,0.28316,0.79639,0.006931,0.006931,0.006931
33,36632.1,0.74291,0.44296,0.82684,0.94714,0.89079,0.91836,0.7649,0.53176,0.28197,0.7961,0.006832,0.006832,0.006832
34,37582.3,0.73917,0.44125,0.82635,0.94811,0.89136,0.91887,0.76588,0.52958,0.2803,0.7958,0.006733,0.006733,0.006733
