epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1189.76,1.03605,0.968,0.87184,0.89195,0.85469,0.88873,0.68029,0.69887,0.42657,0.82246,0.003333,0.003333,0.003333
2,2276.96,0.99128,0.65505,0.86643,0.91447,0.86802,0.9026,0.7118,0.64438,0.37849,0.81947,0.00660034,0.00660034,0.00660034
3,3341.44,0.9682,0.63749,0.86683,0.92283,0.86658,0.90265,0.72599,0.61884,0.38308,0.82093,0.00980168,0.00980168,0.00980168
4,4393.04,0.9049,0.58091,0.85805,0.92959,0.86147,0.90507,0.72853,0.61109,0.43954,0.82459,0.009703,0.009703,0.009703
5,5444.77,0.83151,0.51928,0.84477,0.9292,0.86059,0.90724,0.73405,0.59636,0.44272,0.82277,0.009604,0.009604,0.009604
6,6497.81,0.79497,0.48909,0.83761,0.92806,0.86304,0.90934,0.74048,0.58294,0.43455,0.82061,0.009505,0.009505,0.009505
7,7550.58,0.77087,0.47109,0.83344,0.92774,0.86722,0.91166,0.7467,0.56922,0.41817,0.81784,0.009406,0.009406,0.009406
8,8601.57,0.75458,0.45803,0.83119,0.93125,0.87353,0.91477,0.7527,0.55588,0.39559,0.81439,0.009307,0.009307,0.009307
9,9657.56,0.7421,0.44846,0.82964,0.93826,0.87871,0.91711,0.75934,0.54247,0.36835,0.81063,0.009208,0.009208,0.009208
10,10706.6,0.73401,0.44176,0.82859,0.94517,0.88326,0.91996,0.76542,0.53084,0.34371,0.80708,0.009109,0.009109,0.009109
11,11763.8,0.72473,0.43533,0.82681,0.94682,0.88812,0.92275,0.77079,0.52112,0.32392,0.80404,0.00901,0.00901,0.00901
12,12813,0.71878,0.42969,0.82603,0.95119,0.89108,0.92512,0.7762,0.5124,0.3081,0.80157,0.008911,0.008911,0.008911
13,13864.5,0.71253,0.42506,0.82508,0.95067,0.89349,0.92636,0.78016,0.50554,0.29602,0.79949,0.008812,0.008812,0.008812
